
============================================================
  HEAT Training — Dataset: GDELT
  Device: cpu
============================================================

  [data] GDELT: 7,691 entities, 240 relations
  [data] Loading quadruples...
  [data] Train: 1,734,399  Valid: 238,765  Test: 305,241
  [data] Building train history...
  [data] Train history done.
  [data] Building test history...
  [data] Test history done. Dataset ready.

  Entities: 7,691  |  Relations: 240  |  Train: 1,734,399
  Batch 570/1694 | Loss 10.5454 | 11338s elapsed
  Batch 580/1694 | Loss 10.5458 | 11535s elapsed
  Batch 590/1694 | Loss 10.5459 | 11735s elapsed
  Batch 600/1694 | Loss 10.5459 | 11922s elapsed
  Batch 610/1694 | Loss 10.5463 | 12107s elapsed
  Batch 620/1694 | Loss 10.5463 | 12302s elapsed
  Batch 630/1694 | Loss 10.5460 | 12496s elapsed
  Batch 640/1694 | Loss 10.5469 | 12691s elapsed
  Batch 650/1694 | Loss 10.5464 | 12891s elapsed
  Batch 660/1694 | Loss 10.5460 | 13083s elapsed
  Batch 670/1694 | Loss 10.5458 | 13287s elapsed
  Batch 680/1694 | Loss 10.5456 | 13482s elapsed
  Batch 690/1694 | Loss 10.5452 | 13679s elapsed
  Batch 700/1694 | Loss 10.5452 | 13880s elapsed
  Batch 710/1694 | Loss 10.5448 | 14086s elapsed
  Batch 720/1694 | Loss 10.5450 | 14285s elapsed
  Batch 730/1694 | Loss 10.5448 | 14481s elapsed
  Batch 740/1694 | Loss 10.5441 | 14675s elapsed
  Batch 750/1694 | Loss 10.5442 | 14874s elapsed
  Batch 760/1694 | Loss 10.5443 | 15071s elapsed
  Batch 770/1694 | Loss 10.5440 | 15269s elapsed
  Batch 780/1694 | Loss 10.5438 | 15482s elapsed
  Batch 790/1694 | Loss 10.5441 | 15688s elapsed
  Batch 800/1694 | Loss 10.5441 | 15882s elapsed
  Batch 810/1694 | Loss 10.5445 | 16081s elapsed
  Batch 820/1694 | Loss 10.5441 | 16278s elapsed
  Batch 830/1694 | Loss 10.5442 | 16468s elapsed
  Batch 840/1694 | Loss 10.5444 | 16661s elapsed
  Batch 850/1694 | Loss 10.5439 | 16862s elapsed
  Batch 860/1694 | Loss 10.5440 | 17067s elapsed
  Batch 870/1694 | Loss 10.5441 | 17269s elapsed
